Record Length,2500,Points,-50.00000E-3,451.999992E-3,,Record Length,2500,Points,-50.00000E-3,314.00001E-3,
Sample Interval,40.00000E-6,s,-49.96000E-3,453.599989E-3,,Sample Interval,40.00000E-6,s,-49.96000E-3,314.00001E-3,
Trigger Point,1.2500E3,Samples,-49.92000E-3,454.400003E-3,,Trigger Point,1.2500E3,Samples,-49.92000E-3,316.00001E-3,
,,,-49.88000E-3,453.599989E-3,,,,,-49.88000E-3,316.00001E-3,
,,,-49.84000E-3,453.199983E-3,,,,,-49.84000E-3,316.00001E-3,
,,,-49.80000E-3,453.199983E-3,,,,,-49.80000E-3,316.00001E-3,
Source,CH1,,-49.76000E-3,454.400003E-3,,Source,CH2,,-49.76000E-3,316.00001E-3,
Vertical Units,Volts,,-49.72000E-3,454.400003E-3,,Vertical Units,Volts,,-49.72000E-3,316.00001E-3,
Vertical Scale,10.00000E-3,,-49.68000E-3,454.799980E-3,,Vertical Scale,50.00000E-3,,-49.68000E-3,316.00001E-3,
Vertical Offset,0,,-49.64000E-3,454.400003E-3,,Vertical Offset,0,,-49.64000E-3,316.00001E-3,
Horizontal Units,s,,-49.60000E-3,454.400003E-3,,Horizontal Units,s,,-49.60000E-3,316.00001E-3,
Horizontal Scale,10.00000E-3,,-49.56000E-3,453.599989E-3,,Horizontal Scale,10.00000E-3,,-49.56000E-3,316.00001E-3,
Pt Fmt,Y,,-49.52000E-3,453.999996E-3,,Pt Fmt,Y,,-49.52000E-3,318.00002E-3,
Yzero,-43.12000,,-49.48000E-3,452.799976E-3,,Yzero,-7.32000,,-49.48000E-3,318.00002E-3,
Probe Atten,10.0000,,-49.44000E-3,453.999996E-3,,Probe Atten,10.0000,,-49.44000E-3,318.00002E-3,
,,,-49.40000E-3,453.999996E-3,,,,,-49.40000E-3,318.00002E-3,
Note,TDS 1002C-EDU - 4:12:10 PM   6/18/2013,,-49.36000E-3,453.999996E-3,,Note,TDS 1002C-EDU - 4:12:10 PM   6/18/2013,,-49.36000E-3,318.00002E-3,
